,58,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,
Racks In Position,0,,ATN1,0,0,0,,,Color Guide,,,,,,,,
Racks Pending Position,58,,ATN2,0,15,15,,,ISSUE,,,,,,,,
SLC Completed,0,,ATN3,0,15,15,,,HIGH-PRI ,,,,,,,,
Racks Pending L2+ Audit Completion,0,,ATN4,0,0,0,,,Good/Completed,,,,,,,,
Work % Complete,0.0%,,ATN5,0,0,0,,,,,,,,,,,
,,,ATN6,0,0,0,,,,,,,,,,,
,,,ATN7,0,28,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp
Milestone,Set Only,Inbound Receipt,6057753, , ,,ATN2,ATN2.2A.17F.03,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12487517, , ,,ATN2,ATN2.2B.15B.08,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12487560, , ,,ATN2,ATN2.2B.17B.12,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,6056441, , ,,ATN2,ATN2.2B.17F.06,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,11523031, , ,,ATN2,ATN2.2C.17B.07,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12487543, , ,,ATN2,ATN2.2C.21B.24,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,6057825, , ,,ATN2,ATN2.2D.12B.27,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,12487195, , ,,ATN2,ATN2.2D.13F.08,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,6057776, , ,,ATN2,ATN2.2D.14F.22,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,6057561, , ,,ATN2,ATN2.2D.15B.21,,,FALSE,FALSE,FALSE,Set Only ,,,
Milestone,Set Only,Inbound Receipt,6057775, , ,,ATN2,ATN2.2D.17B.21,,,FALSE,FALSE,FALSE,Set Only ,,,
