,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50331546,ATN6,ATN6.6C.19B.28,,ATN7,ATN7.7A.11.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",Still plugged in,Just need to un-set so we can move at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50132489,ATN2,ATN2.2A.16B.16,,ATN5,ATN5.5D.11B.08,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,NEED TO AUDIT ONLY,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50122211,atn3,atn3.3c.13b.19,,ATN5,ATN5.5D.05F.10,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Moved on 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,11661066,ATN6,ATN6.6A.11B.23,,ATN7,ATN7.7A.25.35,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,RACK MOVES FOR 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50331546,ATN6,ATN6.6C.19B.28,,ATN7,ATN7.7A.11.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,RACK MOVES FOR 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187948,ATN6,ATN6.6C.22F.26,,ATN7,ATN7.7A.11.02,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,RACK MOVES FOR 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50387944,ATN6,ATN6.6C.28B.03,,ATN7,ATN7.7A.56.05,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,RACK MOVES FOR 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50282541,ATN3,ATN3.3A.07F.02,,ATN7,ATN7.7A.64.01,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Moved on 2/14,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,12497296,ATN3,ATN3.3A.10F.15,,ATN7,ATN7.7A.67.34,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,Moved on 2/14,,,,,,,,,,,,
